	BMI	F_TOTAL	F_CITMLB	F_OTHER	F_JUICE	V_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_TOMATO	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_POTATO	V_STARCHY_OTHER	V_OTHER	V_LEGUMES	G_TOTAL	G_WHOLE	G_REFINED	PF_TOTAL	PF_MPS_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_EGGS	PF_SOY	PF_NUTSDS	PF_LEGUMES	D_TOTAL	D_MILK	D_YOGURT	D_CHEESE	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
BMI	1	-0.00623112111278454	-0.30870631291119	0.111312089173799	0.104998746277015	-0.0712026413528585	-0.257548412271091	0.0997234264729825	0.280445664395983	-0.077745179182644	0.204121504959564	0.223071875966199	-0.167957183558098	-0.253233946744039	-0.305463175160778	0.417765934034759	-0.0980847032479364	0.429193028790914	-0.0750023853406666	-0.020068298486352	0.378292456477037	0.124849926297162	0.0580794128858079	-0.135519416669495	-0.323393804792249	-0.238647228623338	-0.176419136707129	0.118483619031307	-0.309955900321979	0.100918055391947	-0.155258443718336	-0.0121994291204617	0.314869908789411	0.0999801164297489	0.411135970229229	0.460802855753639	0.510415662509219
F_TOTAL	-0.00623112111278454	1	0.47097540482655	0.884910564279679	0.550054068725198	-0.0319645115881994	0.368605106564778	-0.119958364776992	-0.157110709288069	-0.0525392599369027	-0.152292241193631	-0.148957793635683	-0.014555849814747	-0.017958014346473	0.315558126983659	0.0428669444690296	0.345143154879423	-0.0724813771493944	-0.368001579818144	-0.439335177561894	-0.200082421277791	-0.196922492395158	-0.192763344866012	-0.233844961679983	-0.201327789690898	-0.217352189818076	-0.150614620827565	0.494770024878165	0.307722507695003	0.00249230511462218	-0.0381815433013934	0.266220451958824	-0.0964604069930343	-0.0147970304766271	-0.109451457290223	0.0836802230800586	-0.135406994108128
F_CITMLB	-0.30870631291119	0.47097540482655	1	0.0882287917492399	0.0733365412530888	-0.128288364794239	0.153352249551595	-0.162266217227185	-0.256031732084177	-0.0358104135533824	-0.170172365531674	-0.171674949717473	0.0255878557155938	-0.0431022526504589	0.310276589985217	-0.032682059861139	0.334810097013774	-0.140888650567175	-0.351071629579494	-0.385910285188363	-0.145903117047842	-0.117454673547538	-0.190356992204576	-0.236346929771125	-0.181767713044318	-0.191674878325251	-0.0438003379612976	0.26651413572589	0.312655742861967	-0.0574739209003365	-0.0716765285269804	0.339798103706366	-0.0940552522624447	-0.195631399821348	-0.183620536504281	0.0100068092426581	-0.164245850957818
F_OTHER	0.111312089173799	0.884910564279679	0.0882287917492399	1	0.339129285047158	0.0622519617052859	0.377018442344096	-0.0293866275362436	-0.0319042095052718	-0.0182059522694616	-0.0762154866432605	-0.055661980624561	-0.158451205557211	0.0185725900523885	0.242012017420011	0.107760444220782	0.254357196289186	0.018970262399466	-0.244412754692699	-0.299632638625363	-0.133054703641312	-0.146794436623054	-0.136374841513443	-0.149966397022966	-0.143310617315683	-0.166695680036189	-0.112771577185281	0.386610491166704	0.231713727836145	0.00707838353671652	0.0503294171095698	0.0562500536202245	-0.109695259407595	0.086527862432706	-0.0183746938680967	0.141926939902058	-0.0459553106776839
F_JUICE	0.104998746277015	0.550054068725198	0.0733365412530888	0.339129285047158	1	-0.114028613615858	0.0854018615004718	-0.133524719560728	-0.130439402605438	-0.0944929196273063	-0.109354621881593	-0.153901352247845	0.365296596922498	-0.0589287979345104	0.0453562975680608	-0.101067904562766	0.0861449698364345	-0.124307043272078	-0.177884205942703	-0.238147988051622	-0.161830688034473	-0.151635744160125	-0.0596292541369398	-0.109138000530002	-0.0846096763127868	-0.0633841557788774	-0.181685711049831	0.371292935420488	0.0419149382627479	0.0728333430888523	-0.185738814892264	0.351868929026037	0.0881847001358562	-0.0208154700642687	-0.0943338113045196	-0.107213368793244	-0.141373572333578
V_TOTAL	-0.0712026413528585	-0.0319645115881994	-0.128288364794239	0.0622519617052859	-0.114028613615858	1	0.542750166310639	0.682899885205788	0.498679670497385	0.619773077182709	0.479371478240115	0.479172385513111	-0.0366049065127472	0.647698198675121	0.252100319918597	-0.274876025154848	0.449411596766097	-0.408647538052058	-0.130315053093597	-0.165683856131963	-0.229898491863425	-0.0671361813978114	-0.0427561387320071	0.0262795435986397	-0.0814672476429375	-0.0863642977312849	0.199344359076848	0.0489262817420153	0.252034060668659	-0.340836165373166	-0.0501184892477191	-0.133157959930786	-0.351642417473938	0.610517676639516	-0.361567950390412	-0.204745727053493	-0.321219123736981
V_DRKGR	-0.257548412271091	0.368605106564778	0.153352249551595	0.377018442344096	0.0854018615004718	0.542750166310639	1	0.301303700241251	-0.0477635367345684	0.490455582482981	-0.00797813125143816	-0.00367373628473003	-0.0338196061512324	0.302204494267514	0.1759016491642	-0.316964840813373	0.554820454669706	-0.483223916845609	-0.210090765555018	-0.28005329236301	-0.207086770316166	-0.0835164628178426	-0.167904821102929	-0.122458473456543	-0.0776026540045004	0.0451565817393836	-0.0893317483616923	0.23995274064798	0.171658299958754	-0.0629677774208673	0.0986469534100239	0.0920045312140547	-0.292858421294324	0.450850082371502	-0.372495646322725	-0.112818025624824	-0.438906135380987
V_REDOR_TOTAL	0.0997234264729825	-0.119958364776992	-0.162266217227185	-0.0293866275362436	-0.133524719560728	0.682899885205788	0.301303700241251	1	0.783808969100794	0.86414910855635	0.188362479947988	0.194773383528613	-0.0663268981660013	0.259736236598124	0.328874254145828	0.0778421432854419	0.624854112498573	-0.130998448623389	-0.371366517209702	-0.327112783651255	-0.142016762160819	-0.194840705500352	-0.175264374492031	-0.212229516500881	-0.0748424576962668	-0.265726120560217	0.178757632080978	-0.115371558927778	0.328357167065408	-0.29226741342844	-0.190036535067071	-0.0934805420149296	-0.156365620138671	0.484369440031426	-0.250516093938996	0.0317937156658066	-0.106473464734582
V_REDOR_TOMATO	0.280445664395983	-0.157110709288069	-0.256031732084177	-0.0319042095052718	-0.130439402605438	0.498679670497385	-0.0477635367345684	0.783808969100794	1	0.364817347710962	0.354232232172521	0.36441310788839	-0.109721635808435	0.0863791994197412	0.333887906744124	0.167104557564972	0.270478625740382	0.0700786617669185	-0.378492750730555	-0.319092630949038	-0.0227747883619635	-0.128246573545557	-0.137454898945881	-0.251994782238404	-0.174908244783183	-0.256092491906596	0.146050728024334	-0.159317379590508	0.332516965007208	-0.117081924795151	-0.112211032339835	-0.120030747268179	0.0359325957569606	0.333174087553601	-0.0390469522870453	0.0824885519618265	0.0705385315072443
V_REDOR_OTHER	-0.077745179182644	-0.0525392599369027	-0.0358104135533824	-0.0182059522694616	-0.0944929196273063	0.619773077182709	0.490455582482981	0.86414910855635	0.364817347710962	1	-0.0046408674151693	-0.00327907350438899	-0.0105309299692736	0.319428712637229	0.22251712583128	-0.0187049480900486	0.717669281540918	-0.253197268296055	-0.250080485552202	-0.231865637847023	-0.194472397221556	-0.188202025874397	-0.151388824386856	-0.113992643119185	0.0295262330299035	-0.190880406653468	0.149660601041894	-0.0438739825612672	0.222852805983053	-0.343322978243429	-0.193993627799696	-0.0428887574785921	-0.263560067116005	0.456232210747973	-0.343961002377671	-0.0191766398953456	-0.216799194403593
