Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
UserName	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
SampleID	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallRecId	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
UserID	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallNo	1	1	2	2.02507374631268	3	3	0.835488470425364
RecallAttempt	0	0	0	0	0	0	0
RecallStatus	2	2	2	2	2	2	0
IntakeStartDateTime	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
IntakeEndDateTime	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
ReportingDate	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Lang	1	1	1	1	1	1	0
Occ_No	1	1	2	2.46017699115044	3	6	1.19725484797149
Occ_Time	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Occ_Name	1	1	3	2.95870206489676	4	7	1.61457708691685
EatWith	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
WatchTVuseComputer	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Location	1	1	1	2.77728613569322	3	11	2.47211037362694
FoodNum	1	4	7	7.18141592920354	10	22	4.25874473373339
FoodType	1	1	1	1.16076696165192	1	2	0.367587048302408
FoodSrce	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
CodeNum	1	4	8	8.53097345132743	12	24	5.13637498077819
FoodCode	11100000	41420300	63105010	60118100.7684366	75302080	95230020	24454655.0435722
ModCode	0	0	0	0	0	0	0
HowMany	0.0208	0.75	1	3.39396348082743	4	56.7	5.65801843615651
SubCode	0	0	0	1475.29498525074	0	1000250	38414.3698242865
PortionCode	98	10205	30000	32279.2477876106	61031.5	64715	22446.7278620736
FoodAmt	0.3	28.35	79	131.564713903643	226.8	740	131.703525944042
KCAL	0	10.025	76.8	130.154271870305	167.7808125	1196.79	166.206362878431
PROT	0	0.32338125	1.975325	6.32081390075811	7.314575	92.05812	10.9715670773387
TFAT	0	0.07228125	1.6253375	5.99995371291593	7.521	70.4396	9.85201706152739
CARB	0	0.708	3.9997425	12.8293550631268	17.2990125	132.7728	19.7991155665456
MOIS	0.00046	15.447	52.356	104.769764408584	168.9066	716.688	120.189078528535
ALC	0	0	0	0.233566371681416	0	28.08	1.86544856122699
CAFF	0	0	0	4.22349188790561	0	228.96	20.454601829533
THEO	0	0	0	1.03025294985251	0	154.05	9.22623153127211
